id_miembro,fec_registro,id_ciudad,genero,rango_edad,canal_pref,activo,fec_ultima_compra
1,2023-07-03,Almería,F,36-45,Tienda,True,2024-11-29
2,2022-08-31,Madrid,M,60+,Tienda,True,2024-02-01
3,2021-06-24,Cádiz,F,18-25,Mobile,True,2023-05-09
4,2025-06-24,Barcelona,M,60+,Tienda,False,2026-04-02
5,2023-10-18,Cantabria,M,18-25,Tienda,True,2025-02-12
6,2025-02-21,Melilla,F,60+,Mobile,True,2025-07-30
7,2023-11-27,Lugo,F,46-60,Tienda,True,2024-08-15
8,2023-06-20,Cantabria,,60+,Mobile,True,2025-04-10
9,2026-02-22,Alicante,M,36-45,Mobile,True,2026-05-16
10,2024-12-24,Palencia,,60+,Tienda,True,2025-12-16
11,2023-01-05,Valencia,M,46-60,Mobile,True,2026-04-20
12,2025-05-05,Granada,M,46-60,Mobile,True,2025-12-01
13,2023-04-15,Albacete,M,36-45,Mobile,True,2024-09-30
14,2023-10-10,Las Palmas,F,46-60,Tienda,True,2024-02-13
15,2024-01-10,Salamanca,M,26-35,Mobile,True,2024-09-28
16,2024-09-26,Cuenca,F,36-45,Tienda,True,2026-04-19
17,2021-12-04,Toledo,,18-25,Web,True,2022-09-03
18,2022-10-17,Valladolid,M,46-60,Tienda,True,2025-09-06
19,2022-01-18,Las Palmas,,36-45,Web,True,2022-05-09
20,2025-03-25,Palencia,M,18-25,Mobile,True,2025-07-16
21,2024-09-04,Cuenca,F,26-35,Tienda,False,2026-02-18
22,2024-12-09,Sevilla,M,26-35,Web,True,2025-12-25
23,2021-06-17,Madrid,M,26-35,Web,True,2021-07-09
24,2023-11-22,Santa Cruz de Tenerife,M,36-45,Tienda,True,2025-03-20
25,2023-08-31,Málaga,F,36-45,Mobile,True,2025-04-08
26,2021-11-22,Zaragoza,F,18-25,Tienda,True,2023-02-23
27,2023-06-23,Murcia,M,36-45,Mobile,False,2024-01-29
28,2024-10-02,Lugo,F,26-35,Mobile,False,2026-02-26
29,2025-03-30,León,,36-45,Mobile,True,2025-09-03
30,2026-04-25,Navarra,F,18-25,Mobile,True,2026-04-30
31,2023-08-09,Burgos,F,18-25,Web,False,2025-08-10
32,2025-02-19,Sevilla,M,26-35,Tienda,True,2026-03-09
33,2022-09-01,Melilla,,26-35,Mobile,True,2025-04-15
34,2024-10-04,Segovia,,18-25,Tienda,True,2024-12-30
35,2023-11-25,Sevilla,F,26-35,Tienda,True,2024-04-13
36,2025-03-30,Murcia,,18-25,Web,True,2026-04-04
37,2022-12-16,Guadalajara,,36-45,Tienda,True,2024-03-26
38,2022-12-27,Lleida,F,46-60,Mobile,True,2025-08-30
39,2021-07-05,Cádiz,F,26-35,Mobile,True,2022-12-19
40,2024-11-23,Ciudad,,60+,Tienda,True,2024-12-24
41,2021-12-09,Huelva,,18-25,Web,True,2023-12-15
42,2022-03-30,Huelva,,36-45,Tienda,False,2024-12-21
43,2026-02-13,Tarragona,,36-45,Mobile,True,2026-04-05
44,2022-06-05,Granada,F,18-25,Mobile,True,2022-10-21
45,2025-03-17,Ceuta,,36-45,Mobile,True,2025-11-04
46,2026-01-12,Las Palmas,,36-45,Web,True,2026-01-15
47,2022-09-15,Valencia,,26-35,Web,False,2025-05-06
48,2024-06-13,Castellón,F,36-45,Tienda,True,2025-11-09
49,2025-02-27,Santa Cruz de Tenerife,,18-25,Tienda,True,2025-08-15
50,2023-07-06,Melilla,F,36-45,Mobile,True,2023-12-04
51,2024-06-21,Asturias,F,18-25,Tienda,False,2024-09-02
52,2023-08-09,Burgos,M,36-45,Tienda,True,2023-12-28
53,2024-10-03,Albacete,,60+,Tienda,True,2025-03-27
54,2025-07-20,Toledo,,36-45,Tienda,True,2026-02-05
55,2023-05-20,Santa Cruz de Tenerife,M,60+,Web,True,2024-06-30
56,2026-01-09,Barcelona,M,46-60,Web,True,2026-02-13
57,2023-08-16,Sevilla,,60+,Web,True,2025-06-28
58,2023-04-11,Alicante,,18-25,Web,True,2024-07-04
59,2023-08-26,Salamanca,M,36-45,Mobile,True,2024-07-18
60,2022-01-28,Baleares,F,36-45,Tienda,True,2023-06-14
61,2023-08-06,Granada,F,18-25,Mobile,True,2026-01-22
62,2021-07-20,Málaga,,60+,Tienda,False,2026-03-16
63,2024-02-25,Vizcaya,M,46-60,Web,True,2025-08-08
64,2024-08-14,Granada,M,46-60,Tienda,True,2026-04-16
65,2022-07-08,Santa Cruz de Tenerife,F,18-25,Web,True,2026-04-14
66,2023-05-30,Granada,M,36-45,Mobile,False,2025-12-14
