art_id,cod_barra,desc_art,id_categ_n1,id_categ_n2,id_categ_n3,id_proveedor,precio_lista,peso_kg,unid_medida,activo,fec_alta
1,7486335283975,Table,Bebés,Juguetes,siete,755,177.24,12.55,LT,True,2025-03-06
2,7411309699469,Rustic Plastic Chair,Tecnología,Computadores,consumo,423,256.1,18.99,KG,True,2023-11-30
3,5335670158856,Wooden Car,Bebés,Pañales,peor,616,375.07,7.87,LT,True,2023-09-29
4,9830326969726,Sausages,Moda,Zapatos,mayor,431,4958.14,18.34,KG,True,2023-11-09
5,2650082265804,Tasty Mouse,Tecnología,Computadores,todo,113,169.12,13.51,KG,True,2023-10-18
6,3996571979449,Generic Wooden Shirt,Tecnología,TV,unión,166,771.42,16.1,LT,True,2025-03-23
7,6447131114642,Awesome Rubber Cheese,Tecnología,Celulares,rodríguez,540,1431.11,15.11,LT,True,2024-07-14
8,5170621861221,Tuna,Bebés,Ropa bebé,construcción,158,122.42,4.21,LT,True,2024-01-13
9,6372836596168,Intelligent Soap,Moda,Pantalones,interés,330,2477.49,12.59,KG,True,2024-11-26
10,8470112637456,Tasty Concrete Car,Hogar,Decoración,juez,149,419.09,17.03,LT,True,2025-03-25
11,5681675951795,Tasty Plastic Pizza,Tecnología,Celulares,diario,756,27.31,19.3,UND,True,2026-04-07
12,5793774713539,Frozen Pizza,Bebés,Ropa bebé,vino,419,1123.7,1.71,LT,True,2023-06-17
13,6394773527555,Table,Moda,Camisas,centros,78,65.7,6.02,KG,True,2023-11-05
14,3003368757484,Rubber Pants,Tecnología,Celulares,sabe,284,1422.94,1.33,KG,True,2025-03-13
15,9633342304690,Tuna,Moda,Camisas,salir,525,876.51,9.67,UND,True,2023-12-31
16,9111279526779,Steel Cheese,Tecnología,TV,trabajo,567,117.02,10.48,UND,True,2023-08-29
17,7130216511489,Cotton Towels,Moda,Zapatos,quiere,148,224.19,12.9,UND,True,2024-02-19
18,6438892757377,Frozen Salad,Tecnología,TV,prensa,297,656.61,4.15,LT,True,2024-10-06
19,4500110908938,Fresh Tuna,Hogar,Decoración,tribunal,452,190.12,7.49,LT,True,2024-10-28
20,9085181390523,Licensed Plastic Chicken,Moda,Camisas,efecto,563,1886.9,18.04,KG,True,2023-12-17
21,9692913073441,Used Soft Keyboard,Moda,Zapatos,segunda,652,826.56,12.89,UND,True,2024-07-20
22,0070379436106,Pizza,Moda,Camisas,pequeño,136,74.28,10.65,KG,True,2025-08-09
23,7449052405006,Car,Bebés,Juguetes,mujeres,797,277.87,8.48,UND,True,2025-08-30
24,9895868731965,Hat,Hogar,Limpieza,tenía,756,556.86,13.66,KG,True,2025-09-24
25,4548625614975,Pizza,Bebés,Pañales,acción,267,151.86,6.96,LT,True,2026-02-15
26,7566780596926,Towels,Bebés,Juguetes,mañana,754,986.6,2.78,LT,True,2023-12-30
27,5527778206342,Keyboard,Bebés,Juguetes,objetivo,313,612.22,0.1,UND,True,2025-11-30
28,5624602165582,Cotton Pants,Hogar,Limpieza,vez,37,679.13,3.7,KG,True,2026-05-10
29,7828652788144,Ball,Hogar,Limpieza,espacio,212,241.67,8.87,UND,True,2024-08-10
30,9476541463061,Cheese,Tecnología,TV,solamente,321,119.56,2.58,KG,True,2024-01-25
31,7060943417443,Cotton Gloves,Hogar,Limpieza,sol,158,1118.96,12.64,LT,True,2023-11-03
32,5423085189951,Steel Bacon,Tecnología,TV,dolor,2,1925.59,19.8,KG,True,2025-03-13
33,8804566333938,Awesome Pants,Bebés,Pañales,tribunal,640,930.53,13.25,LT,True,2024-05-27
34,5307919000783,Practical Soft Mouse,Moda,Camisas,grande,6,807.35,3.12,LT,True,2023-12-23
35,5797104877618,Unbranded Rubber Sausages,Bebés,Pañales,energía,110,352.49,2.83,LT,True,2026-05-14
36,9091543423327,For repair Frozen Mouse,Moda,Pantalones,ya,800,163.05,2.63,KG,True,2026-02-28
37,4602342456253,Generic Tuna,Moda,Camisas,tampoco,180,695.2,7.6,UND,True,2025-05-19
38,6821777254939,For repair Fresh Shoes,Tecnología,Celulares,fin,437,176.9,18.87,KG,True,2026-02-06
39,0061273889600,Rubber Shirt,Tecnología,Celulares,televisión,205,901.91,16.09,LT,True,2025-05-27
40,6024682352947,Chair,Hogar,Decoración,siete,517,434.7,17.54,LT,True,2023-07-02
41,1997759571808,Gorgeous Cheese,Bebés,Ropa bebé,octubre,285,75.63,10.12,UND,True,2025-02-27
42,0643178363609,Chair,Moda,Zapatos,organización,186,350.23,14.52,UND,True,2026-05-13
43,8599483418959,Soft Towels,Moda,Camisas,civil,739,95.53,16.78,KG,True,2023-10-09
44,0981923661885,Table,Tecnología,Computadores,da,631,82.43,8.99,UND,True,2024-01-05
45,0626524569429,Practical Wooden Keyboard,Tecnología,Computadores,dos,547,36.13,14.57,KG,True,2023-09-15
46,0652930330360,Mouse,Bebés,Ropa bebé,bien,457,85.98,14.3,LT,True,2025-11-26
47,3276480089164,Shoes,Tecnología,Celulares,sean,775,100.81,11.59,KG,True,2025-03-31
48,3277673755903,Cheese,Hogar,Decoración,siempre,152,1180.95,8.42,KG,True,2025-10-04
49,0912352529880,New Chicken,Tecnología,Computadores,vez,249,587.8,16.87,LT,True,2024-07-01
50,6735920197304,Car,Tecnología,Computadores,importante,613,2444.91,14.15,LT,True,2024-04-04
51,6886071545916,Towels,Bebés,Pañales,manera,631,272.51,15.97,LT,True,2024-03-18
52,7543527104767,Handcrafted Cheese,Bebés,Juguetes,práctica,539,90.71,5.71,KG,True,2024-07-27
53,6521162205996,Sausages,Bebés,Ropa bebé,al,374,328.24,16.7,UND,True,2025-06-20
54,2984996536362,Tasty Concrete Salad,Bebés,Ropa bebé,juicio,463,216.55,12.94,LT,True,2025-03-25
55,6387523079831,Refined Chicken,Hogar,Cocina,falta,471,505.57,14.55,KG,True,2025-06-12
56,3010043649903,Generic Concrete Shoes,Bebés,Juguetes,hermano,448,79.73,18.17,LT,True,2025-07-19
57,6596556542223,Shoes,Bebés,Juguetes,mucho,507,347.33,0.11,LT,True,2025-10-01
58,6500932444001,Gloves,Hogar,Decoración,quien,286,1274.65,4.88,LT,True,2023-12-19
59,6022137369090,Shoes,Tecnología,Computadores,aunque,24,1294.34,10.95,UND,True,2025-01-16
60,9427360693108,Shoes,Bebés,Juguetes,escuela,393,1088.39,2.75,LT,True,2024-02-01
61,1227469920529,Rubber Table,Tecnología,Computadores,través,626,574.65,18.7,UND,True,2023-06-01
62,8673960515093,Granite Sausages,Bebés,Ropa bebé,clase,152,847.83,14.17,UND,True,2025-10-16
63,3150803358918,Incredible Cotton Table,Tecnología,TV,poder,755,318.59,11.77,UND,True,2024-07-03
64,1161946714143,Fresh Pants,Bebés,Juguetes,acto,567,504.35,12.15,KG,True,2024-08-28
65,3722482091600,Sleek Granite Cheese,Moda,Pantalones,jefe,561,291.12,1.22,UND,True,2025-01-17
66,9921153937597,Handcrafted Car,Tecnología,Celulares,información,748,191.66,1.66,LT,True,2025-10-25
67,3813505740466,Small Chair,Bebés,Pañales,grupo,361,428.23,10.29,LT,True,2024-06-07
68,7970843669265,Generic Frozen Mouse,Moda,Camisas,pequeño,23,1814.25,8.26,UND,True,2023-12-14
69,3323899734380,Sleek Cotton Keyboard,Hogar,Limpieza,aunque,730,437.62,17.56,LT,True,2024-02-18
70,7259902142582,Gently Used Granite Soap,Moda,Zapatos,acerca,758,536.85,4.24,UND,True,2026-04-17
71,5766339418873,Metal Computer,Moda,Camisas,muestra,558,720.49,1.65,UND,True,2025-01-27
72,1205332334185,Used Fresh Fish,Hogar,Decoración,casa,619,457.2,1.18,KG,True,2025-04-07
73,2478781991523,Metal Keyboard,Moda,Zapatos,momento,183,265.72,14.62,LT,True,2025-12-19
