id_devolucion,id_trans_origen,art_id,id_tienda,fec_devolucion,qty_devuelta,motivo_cod,canal_devolucion,estado_devolucion,vr_reembolso
1,770043,4681,25,2025-12-02,4,No era lo esperado,Mobile,Pendiente,12448.16
2,901452,1101,97,2026-04-26,4,Producto incompleto,Web,Aprobada,4405.08
3,988161,199,2,2025-12-18,1,Producto defectuoso,Web,Rechazada,2254.4
4,320555,2232,71,2026-02-24,3,Producto defectuoso,Mobile,Rechazada,3448.11
5,959183,1126,19,2026-05-04,1,Error talla,Tienda,Pendiente,2944.38
6,985067,846,17,2026-04-16,3,Producto defectuoso,Mobile,Rechazada,197.97
7,879371,136,150,2026-04-08,4,Producto incompleto,Tienda,Aprobada,13272.32
8,707263,660,99,2025-12-25,2,Producto defectuoso,Web,Pendiente,3830.52
9,87658,527,126,2025-12-29,4,Producto incompleto,Tienda,Rechazada,3844.24
10,90453,2765,67,2026-05-15,1,Error talla,Tienda,Pendiente,666.84
11,751197,186,100,2026-03-15,3,Producto defectuoso,Web,Pendiente,3007.5
12,197596,1898,150,2025-12-19,1,Producto incompleto,Mobile,Pendiente,245.48
13,814752,4721,48,2026-05-17,4,Entrega tardía,Web,Aprobada,7037.04
14,620655,299,71,2026-05-10,2,No era lo esperado,Mobile,Rechazada,8147.34
15,455767,2570,125,2026-03-17,2,No era lo esperado,Web,Rechazada,2312.1
16,656161,485,129,2026-03-10,3,Entrega tardía,Web,Pendiente,14710.2
17,618405,2890,51,2025-11-30,2,Producto incompleto,Tienda,Rechazada,8159.94
18,428522,2124,7,2026-05-01,3,Entrega tardía,Web,Rechazada,12205.98
19,968311,1309,79,2026-01-13,4,Producto defectuoso,Web,Rechazada,13621.16
20,124262,460,133,2026-05-12,2,Entrega tardía,Tienda,Pendiente,5548.36
21,611282,2335,50,2026-05-15,5,No era lo esperado,Tienda,Aprobada,10054.15
22,646471,136,87,2026-02-12,1,Entrega tardía,Tienda,Rechazada,3318.08
23,28422,3217,140,2026-05-08,2,Entrega tardía,Mobile,Pendiente,5056.54
24,703231,943,2,2026-01-22,1,Entrega tardía,Tienda,Rechazada,4535.47
25,883574,1361,104,2026-05-12,2,Producto defectuoso,Web,Rechazada,9709.54
26,650619,3119,55,2025-09-25,2,Producto defectuoso,Mobile,Rechazada,2072.9
27,951982,2716,81,2026-03-25,1,Error talla,Mobile,Rechazada,2965.39
28,589373,4674,78,2026-05-11,1,Error talla,Tienda,Rechazada,2891.2
29,870981,2995,147,2025-12-04,4,Error talla,Web,Pendiente,10514.36
30,246539,1257,60,2026-03-22,1,Error talla,Web,Rechazada,3591.29
31,634812,2084,17,2026-04-11,1,Producto incompleto,Web,Pendiente,3101.12
32,171367,3042,49,2026-04-06,1,Entrega tardía,Tienda,Aprobada,2036.25
33,945682,408,34,2026-01-27,1,Producto defectuoso,Web,Rechazada,4349.16
34,393600,2086,30,2026-05-04,2,Producto incompleto,Mobile,Pendiente,9467.92
35,782832,4180,19,2026-05-12,1,Producto defectuoso,Tienda,Pendiente,774.56
36,271360,3283,69,2026-03-21,1,Error talla,Web,Aprobada,257.04
37,719301,2217,67,2025-11-28,2,Producto defectuoso,Tienda,Aprobada,7951.98
38,283792,223,103,2025-11-28,2,No era lo esperado,Mobile,Aprobada,5603.98
39,366386,1495,132,2025-12-08,1,No era lo esperado,Tienda,Pendiente,987.45
40,563057,2496,8,2026-04-16,1,Producto incompleto,Web,Pendiente,996.82
41,547105,2751,69,2026-04-03,3,Producto incompleto,Mobile,Pendiente,3613.83
42,978047,4223,26,2025-11-26,1,Entrega tardía,Tienda,Pendiente,1594.14
43,953714,3520,67,2026-05-14,2,Entrega tardía,Web,Pendiente,837.9
44,656237,2362,112,2025-12-11,2,Producto incompleto,Web,Aprobada,5547.48
45,59296,1233,55,2026-02-25,1,No era lo esperado,Web,Pendiente,1781.68
46,284001,2215,130,2026-03-13,5,Entrega tardía,Web,Aprobada,13217.65
47,500601,3692,119,2026-03-27,2,Producto defectuoso,Web,Aprobada,6703.62
48,519795,202,123,2025-12-24,2,Error talla,Web,Aprobada,2416.22
49,192390,4426,117,2026-04-21,1,Error talla,Tienda,Rechazada,2940.31
50,443252,396,111,2026-04-24,1,Producto incompleto,Tienda,Pendiente,4075.06
51,202020,3989,86,2026-05-04,1,Error talla,Tienda,Aprobada,3471.39
52,958855,1884,85,2026-04-23,1,Producto incompleto,Tienda,Aprobada,3805.14
53,514404,643,59,2026-02-18,1,Producto incompleto,Tienda,Rechazada,1332.59
54,844278,2116,7,2026-03-06,3,Producto defectuoso,Mobile,Rechazada,1413.45
55,48352,3845,90,2026-03-10,4,Error talla,Mobile,Rechazada,13074.12
56,398113,41,72,2026-05-16,3,Error talla,Tienda,Aprobada,11292.09
57,64546,3111,73,2025-11-29,1,Error talla,Web,Aprobada,1110.83
58,305660,3551,126,2026-05-16,4,Producto defectuoso,Tienda,Pendiente,366.6
59,787070,1289,39,2026-03-11,2,No era lo esperado,Web,Pendiente,7500.14
60,779978,4038,13,2026-04-09,1,Entrega tardía,Tienda,Pendiente,925.75
61,371417,792,8,2025-05-07,2,No era lo esperado,Tienda,Pendiente,376.84
62,925762,1897,6,2026-01-31,2,Error talla,Web,Aprobada,783.32
63,473064,4969,15,2025-08-11,1,No era lo esperado,Mobile,Pendiente,4949.64
64,435012,788,90,2026-05-10,2,Producto defectuoso,Mobile,Rechazada,8900.9
65,540613,2634,100,2026-05-14,2,Producto incompleto,Tienda,Pendiente,8610.0
66,566743,621,125,2026-05-10,1,Producto incompleto,Web,Aprobada,2846.61
67,749151,3720,122,2025-07-21,4,Producto defectuoso,Web,Pendiente,9539.04
68,631984,4919,70,2026-04-29,3,No era lo esperado,Mobile,Pendiente,13885.92
69,820913,4766,39,2026-05-08,3,Entrega tardía,Tienda,Pendiente,12020.37
70,342070,3873,23,2026-03-02,2,Error talla,Web,Aprobada,1481.96
71,342794,37,90,2026-04-20,2,No era lo esperado,Web,Pendiente,9370.52
72,833030,595,103,2026-05-11,1,Producto incompleto,Mobile,Rechazada,3559.93
73,700522,932,28,2026-02-18,2,Producto defectuoso,Web,Aprobada,1558.72
74,231010,3863,21,2026-05-14,2,Entrega tardía,Mobile,Aprobada,3643.3
75,367852,2822,78,2026-02-25,2,Error talla,Tienda,Pendiente,1105.7
76,281666,2446,63,2026-02-16,1,No era lo esperado,Tienda,Aprobada,2676.57
77,964579,2055,73,2026-03-15,3,Producto defectuoso,Tienda,Pendiente,938.4
78,114851,2008,135,2026-01-27,1,Entrega tardía,Tienda,Rechazada,2383.96
79,838430,1889,75,2025-12-26,1,No era lo esperado,Tienda,Pendiente,2124.02
80,535278,1620,37,2026-03-01,1,Entrega tardía,Mobile,Rechazada,2721.6
81,248915,4553,52,2026-02-03,1,No era lo esperado,Web,Aprobada,293.79
82,287000,2962,104,2025-11-03,4,No era lo esperado,Mobile,Aprobada,4899.8
83,880499,3266,77,2026-04-28,2,Producto incompleto,Tienda,Rechazada,8735.62
84,421234,2169,132,2026-03-29,2,Entrega tardía,Mobile,Aprobada,3591.28
85,461397,4751,81,2026-04-22,3,No era lo esperado,Mobile,Aprobada,10582.14
86,720497,1069,20,2025-11-20,1,Producto defectuoso,Mobile,Pendiente,4565.15
87,858080,4731,91,2026-02-14,3,No era lo esperado,Tienda,Aprobada,14083.8
88,922714,3370,49,2025-06-28,1,Producto incompleto,Web,Aprobada,487.34
89,502754,4839,141,2025-12-30,1,No era lo esperado,Tienda,Rechazada,2032.85
90,18586,4331,76,2026-03-10,1,No era lo esperado,Web,Aprobada,1396.7
91,82319,3701,2,2026-01-20,1,Entrega tardía,Tienda,Aprobada,2456.78
92,659293,299,116,2026-05-02,5,Entrega tardía,Tienda,Rechazada,20368.35
93,103110,2227,15,2026-05-01,1,Error talla,Tienda,Pendiente,4729.89
94,896029,841,46,2026-01-17,1,No era lo esperado,Mobile,Rechazada,1938.78
95,850910,1633,63,2026-04-14,2,No era lo esperado,Mobile,Pendiente,807.78
96,362288,4120,115,2026-01-22,2,Entrega tardía,Tienda,Pendiente,9298.3
97,757618,917,137,2026-01-30,2,Producto incompleto,Mobile,Rechazada,9058.84
98,855410,3322,94,2026-03-14,1,Producto incompleto,Mobile,Rechazada,3775.12
99,222232,1451,77,2026-05-05,1,Producto defectuoso,Web,Aprobada,4607.37
100,108070,949,89,2025-12-01,2,Error talla,Tienda,Aprobada,2113.34
101,863774,135,109,2026-01-31,4,No era lo esperado,Mobile,Rechazada,12472.8
102,247635,914,134,2025-10-23,3,Entrega tardía,Web,Rechazada,2771.85
103,983486,4301,25,2026-02-09,5,Entrega tardía,Mobile,Rechazada,21532.45
104,373723,544,55,2025-10-27,1,Error talla,Mobile,Rechazada,568.12
105,450817,4069,141,2026-01-23,1,Error talla,Web,Rechazada,21.31
106,48273,1295,117,2025-12-01,3,Entrega tardía,Tienda,Rechazada,2165.82
107,891886,4192,75,2025-10-27,1,Producto incompleto,Mobile,Rechazada,3172.98
108,762434,2753,149,2025-12-14,1,Entrega tardía,Tienda,Rechazada,4111.25
109,967984,2231,39,2026-03-24,3,No era lo esperado,Mobile,Pendiente,6868.89
110,293034,1740,29,2025-07-27,2,Entrega tardía,Mobile,Pendiente,2325.2
111,875436,3660,72,2026-04-08,3,Producto incompleto,Mobile,Aprobada,7348.2
112,781601,631,59,2026-03-03,2,Producto incompleto,Mobile,Rechazada,6806.24
113,60808,3052,19,2026-04-25,2,Entrega tardía,Mobile,Pendiente,9875.34
114,930299,2511,33,2026-02-18,1,Producto incompleto,Tienda,Rechazada,2953.89
115,246401,2223,119,2026-05-08,1,Producto incompleto,Tienda,Aprobada,809.88
116,29626,3807,118,2026-05-07,1,No era lo esperado,Tienda,Pendiente,3682.98
117,391726,287,93,2026-03-05,2,Producto defectuoso,Web,Pendiente,3797.62
118,246106,3639,110,2026-02-21,1,Entrega tardía,Mobile,Aprobada,2036.99
119,377525,4053,142,2026-04-15,1,Error talla,Tienda,Rechazada,1696.42
120,584344,3015,84,2025-12-30,4,Entrega tardía,Web,Aprobada,18935.64
121,557032,4304,80,2026-04-07,1,Producto incompleto,Tienda,Pendiente,4333.44
122,359934,769,126,2026-03-15,4,Producto defectuoso,Web,Rechazada,2660.72
123,779851,3578,139,2025-12-19,3,Producto defectuoso,Mobile,Pendiente,9562.32
124,586350,1831,49,2025-10-21,2,No era lo esperado,Web,Pendiente,8129.46
125,239647,1714,18,2025-12-24,4,Entrega tardía,Web,Aprobada,19007.92
126,715228,28,24,2026-05-12,3,No era lo esperado,Mobile,Rechazada,8316.0
127,555393,4278,45,2026-04-30,2,Entrega tardía,Mobile,Aprobada,1539.8
128,772092,4406,117,2025-12-14,1,Producto defectuoso,Tienda,Aprobada,2059.47
129,135147,3503,48,2026-01-03,2,No era lo esperado,Mobile,Rechazada,6130.08
130,517312,3853,20,2026-01-10,3,Producto defectuoso,Mobile,Aprobada,3397.23
131,241845,658,63,2026-04-04,1,Error talla,Mobile,Aprobada,4168.28
132,664146,1782,141,2026-03-07,1,Producto defectuoso,Web,Rechazada,1094.05
133,62051,2601,136,2025-11-03,2,Entrega tardía,Web,Pendiente,9301.9
134,157255,420,148,2026-04-15,1,Entrega tardía,Web,Rechazada,3171.0
135,49127,985,150,2025-10-21,4,Error talla,Web,Rechazada,14861.56
136,149242,959,85,2026-01-22,1,Entrega tardía,Mobile,Aprobada,1378.65
137,467547,1310,97,2026-05-06,4,Producto incompleto,Mobile,Pendiente,8097.12
138,561150,1239,92,2026-02-21,1,Entrega tardía,Mobile,Rechazada,4104.26
139,344624,2019,9,2026-03-28,2,Error talla,Web,Rechazada,793.16
140,339528,2015,42,2026-03-22,1,Producto defectuoso,Mobile,Rechazada,2874.89
141,846441,892,123,2025-09-22,1,No era lo esperado,Mobile,Rechazada,3663.3
142,283911,3555,73,2026-05-03,2,No era lo esperado,Mobile,Pendiente,8636.7
143,911597,4394,22,2026-03-05,3,Error talla,Tienda,Pendiente,4632.63
144,577846,3401,28,2026-05-07,4,Entrega tardía,Web,Rechazada,11090.28
145,413222,485,21,2026-02-27,1,Entrega tardía,Tienda,Pendiente,4903.4
146,930054,3668,97,2026-04-24,1,Error talla,Web,Rechazada,1395.01
147,721784,3539,20,2026-01-01,2,No era lo esperado,Tienda,Rechazada,4997.48
148,148089,3206,148,2026-03-30,1,Entrega tardía,Mobile,Rechazada,3466.34
149,97053,4829,20,2026-05-10,1,Producto incompleto,Tienda,Pendiente,2596.45
150,960239,2729,126,2026-02-19,1,Producto defectuoso,Mobile,Pendiente,153.92
151,846216,2765,126,2025-12-01,4,Entrega tardía,Mobile,Pendiente,2667.36
152,432021,972,37,2026-05-09,1,Producto incompleto,Mobile,Aprobada,3174.31
153,71145,1543,40,2026-01-18,1,Producto defectuoso,Tienda,Pendiente,4958.4
154,776409,3977,72,2026-04-30,3,Producto defectuoso,Mobile,Aprobada,4832.04
155,410357,3189,134,2026-02-25,2,No era lo esperado,Mobile,Pendiente,3075.84
156,731394,4186,125,2026-01-13,3,Producto incompleto,Mobile,Pendiente,7878.54
157,916435,3692,105,2026-02-28,2,No era lo esperado,Mobile,Pendiente,6703.62
158,351341,272,109,2025-11-03,1,Producto defectuoso,Tienda,Pendiente,3240.02
159,576601,767,99,2026-04-05,2,Producto defectuoso,Tienda,Pendiente,8875.78
160,212795,4466,23,2026-05-13,3,No era lo esperado,Web,Aprobada,2442.72
161,282867,735,103,2026-05-15,1,Error talla,Tienda,Aprobada,1051.05
162,941455,2221,88,2026-02-06,2,Producto incompleto,Tienda,Rechazada,1863.92
163,350051,2102,96,2025-12-09,3,Entrega tardía,Web,Rechazada,6224.91
164,463819,2430,113,2026-04-16,1,Entrega tardía,Tienda,Pendiente,2780.99
165,793141,4047,90,2026-04-21,2,Entrega tardía,Web,Rechazada,6025.52
166,949967,2668,109,2026-03-08,2,Producto incompleto,Tienda,Aprobada,341.88
167,678495,2597,121,2026-03-26,1,No era lo esperado,Web,Aprobada,1362.79
168,425667,3051,77,2026-04-28,1,Entrega tardía,Mobile,Rechazada,1993.09
169,368923,2781,8,2026-02-07,1,Entrega tardía,Mobile,Rechazada,1748.35
170,654320,2524,130,2025-12-28,3,Producto incompleto,Web,Pendiente,13911.3
171,267616,3872,107,2026-04-27,3,Producto defectuoso,Web,Pendiente,729.75
172,429816,1714,79,2026-05-08,1,Producto defectuoso,Mobile,Pendiente,4751.98
173,417080,4625,7,2026-04-01,4,Producto incompleto,Web,Aprobada,1928.16
174,880586,1887,128,2026-05-16,2,Producto defectuoso,Mobile,Rechazada,3655.64
175,368180,1940,137,2026-02-15,1,Producto defectuoso,Web,Rechazada,4651.46
176,891742,915,18,2026-02-28,1,Entrega tardía,Web,Rechazada,3070.51
177,568099,4071,50,2026-03-10,3,Producto incompleto,Tienda,Aprobada,4120.23
178,94017,3677,65,2025-11-26,1,Entrega tardía,Web,Rechazada,550.07
179,323332,2742,33,2026-04-21,3,Error talla,Mobile,Aprobada,2041.98
180,67025,4972,44,2026-01-21,1,Producto defectuoso,Tienda,Pendiente,3896.33
181,988223,1847,128,2025-11-02,1,Producto defectuoso,Mobile,Rechazada,1671.73
182,848472,2639,5,2026-01-27,2,Entrega tardía,Mobile,Rechazada,5980.98
183,687699,823,83,2025-07-07,2,Producto defectuoso,Tienda,Pendiente,8587.62
184,98915,119,142,2026-04-14,2,Entrega tardía,Tienda,Aprobada,8964.06
185,430778,4496,111,2025-12-11,1,Error talla,Tienda,Rechazada,2497.28
186,176812,2741,138,2025-09-27,2,Error talla,Web,Aprobada,4326.84
187,115668,3819,88,2025-12-21,4,Producto incompleto,Web,Aprobada,12329.08
188,517182,520,80,2026-04-15,1,Producto defectuoso,Tienda,Aprobada,4094.63
189,775151,628,24,2026-02-27,1,Error talla,Web,Pendiente,3323.64
190,735635,2572,48,2026-04-28,3,Entrega tardía,Tienda,Rechazada,11897.1
191,907088,1711,107,2026-04-06,1,Producto defectuoso,Tienda,Pendiente,3422.65
192,256563,996,44,2026-05-14,1,Producto defectuoso,Tienda,Pendiente,2170.13
193,614910,1831,1,2026-05-14,2,Entrega tardía,Tienda,Aprobada,8129.46
194,213858,4241,19,2026-02-17,2,Producto defectuoso,Mobile,Pendiente,7211.92
195,568402,1667,72,2026-02-21,5,Producto incompleto,Tienda,Aprobada,7492.7
196,29796,2104,91,2026-03-23,1,Error talla,Web,Pendiente,307.51
197,551997,4680,80,2025-09-10,2,Error talla,Tienda,Rechazada,8562.34
198,206548,4756,138,2026-05-13,1,Producto incompleto,Mobile,Pendiente,4652.81
199,626830,2503,73,2026-04-08,1,Error talla,Mobile,Pendiente,3131.96
200,236754,1154,101,2026-01-16,1,Error talla,Tienda,Rechazada,2943.76
201,776182,944,127,2025-11-03,1,Producto incompleto,Tienda,Aprobada,4652.36
202,446610,4554,13,2025-11-11,1,Error talla,Mobile,Pendiente,842.67
203,788146,649,53,2026-05-03,1,Producto incompleto,Tienda,Aprobada,4382.24
204,843631,2085,86,2026-01-05,1,Producto incompleto,Tienda,Aprobada,554.08
205,424273,3330,118,2026-01-29,2,Producto defectuoso,Mobile,Rechazada,3041.2
206,379707,2040,14,2026-04-28,3,Error talla,Mobile,Aprobada,1437.6
207,588090,1675,132,2025-12-28,1,Entrega tardía,Mobile,Pendiente,2849.99
208,741253,729,52,2025-12-25,2,Producto incompleto,Web,Rechazada,9953.2
209,229488,316,57,2025-12-12,4,Error talla,Tienda,Pendiente,379.88
210,179208,2240,148,2026-01-08,1,Entrega tardía,Tienda,Pendiente,2821.63
211,42041,735,127,2026-01-30,1,Error talla,Tienda,Pendiente,1051.05
212,474061,940,117,2025-09-28,1,No era lo esperado,Web,Aprobada,1033.11
213,231495,3711,72,2026-05-16,2,Entrega tardía,Tienda,Aprobada,1435.86
214,58276,1597,2,2026-01-07,1,Producto defectuoso,Mobile,Pendiente,2043.09
215,709449,2973,20,2025-10-22,2,Producto defectuoso,Web,Pendiente,1234.54
216,523951,3023,67,2025-11-06,3,No era lo esperado,Tienda,Aprobada,495.69
217,843419,2243,38,2025-08-06,4,Producto incompleto,Tienda,Aprobada,17152.28
218,430245,2155,4,2026-01-29,2,Producto incompleto,Mobile,Rechazada,4583.48
219,165632,2969,106,2025-08-08,5,No era lo esperado,Mobile,Pendiente,7829.65
220,735354,3839,124,2026-01-06,2,Producto defectuoso,Mobile,Aprobada,652.64
221,591279,1229,134,2025-08-05,4,Producto defectuoso,Web,Aprobada,16085.68
222,520719,1877,108,2025-10-07,4,Producto incompleto,Tienda,Aprobada,15708.48
223,792214,1274,65,2026-03-09,2,Entrega tardía,Web,Pendiente,3624.3
224,383831,4885,114,2026-02-14,3,Producto defectuoso,Tienda,Pendiente,7132.86
225,295308,52,21,2026-04-27,1,Producto incompleto,Tienda,Pendiente,1522.95
226,654480,1131,44,2025-09-26,5,Entrega tardía,Tienda,Pendiente,14002.35
227,108577,3943,142,2026-04-03,2,Entrega tardía,Web,Pendiente,4004.8
228,661025,427,45,2025-11-07,3,Error talla,Web,Rechazada,7468.5
229,35453,1492,46,2026-04-25,1,Producto defectuoso,Tienda,Aprobada,4307.83
230,149033,1048,25,2026-04-17,2,Producto incompleto,Tienda,Aprobada,5900.68
231,580435,2455,63,2026-03-14,1,Error talla,Tienda,Pendiente,496.3
232,300897,771,143,2025-11-15,1,No era lo esperado,Web,Rechazada,1080.22
233,852864,579,80,2026-05-17,3,Producto incompleto,Web,Rechazada,8734.08
234,316560,4955,120,2026-05-01,1,Error talla,Web,Aprobada,1640.53
235,242618,3935,29,2026-05-11,2,Error talla,Mobile,Pendiente,8230.62
236,689433,3647,117,2025-12-08,1,Producto incompleto,Web,Aprobada,4350.8
237,898492,1168,82,2025-12-16,1,Producto defectuoso,Mobile,Aprobada,2201.86
238,571449,3971,148,2026-05-09,3,No era lo esperado,Mobile,Aprobada,3123.12
239,35221,1060,22,2026-04-25,2,Error talla,Mobile,Rechazada,238.9
240,281735,2989,139,2026-04-03,1,No era lo esperado,Web,Rechazada,2715.43
241,383905,2786,121,2026-04-18,1,Producto defectuoso,Mobile,Rechazada,3999.54
242,997138,2180,62,2026-04-15,3,Error talla,Web,Pendiente,9133.32
243,640325,4866,54,2026-03-28,2,Producto incompleto,Tienda,Rechazada,4826.02
244,165830,756,13,2026-03-24,1,No era lo esperado,Tienda,Rechazada,2504.88
245,495879,2992,105,2025-09-02,2,Entrega tardía,Mobile,Pendiente,5926.9
246,16491,1168,68,2025-10-29,2,No era lo esperado,Mobile,Pendiente,4403.72
247,986168,4278,60,2025-12-25,2,Error talla,Mobile,Pendiente,1539.8
248,970800,3714,86,2026-03-29,3,Producto incompleto,Tienda,Pendiente,11415.03
249,799731,2393,136,2025-12-16,1,No era lo esperado,Mobile,Rechazada,2095.2
250,922468,4677,107,2026-04-21,3,No era lo esperado,Mobile,Pendiente,1615.14
251,432143,4889,23,2025-10-26,3,Producto incompleto,Tienda,Pendiente,12908.58
252,689727,1373,21,2026-04-02,1,Producto defectuoso,Tienda,Rechazada,3976.63
253,995853,1719,30,2026-05-05,2,Entrega tardía,Mobile,Pendiente,5972.66
254,851708,3602,9,2026-05-12,2,No era lo esperado,Tienda,Aprobada,6206.26
255,31642,1665,82,2026-03-02,2,Entrega tardía,Mobile,Pendiente,8578.04
256,192244,366,24,2026-02-21,4,Producto defectuoso,Mobile,Rechazada,8756.08
257,908360,1905,127,2026-03-28,1,Error talla,Tienda,Aprobada,834.6
258,298385,235,35,2026-02-20,2,No era lo esperado,Mobile,Pendiente,8360.46
259,788753,235,52,2026-04-20,2,Producto incompleto,Tienda,Pendiente,8360.46
260,391831,3702,95,2025-12-31,1,No era lo esperado,Tienda,Rechazada,4630.42
261,504158,1673,44,2026-03-26,1,Producto defectuoso,Web,Pendiente,3480.91
